sample_id,pb207_u235_ratio,pb207_u235_ratio_2sigma_abs,pb206_u238_ratio,pb206_u238_ratio_2sigma_abs,error_correlation_rho,age_207pb_206pb_ma
5A,18.22190479,0.342163071,0.592987758,0.011134868,0.85,3001.523585
5A,18.2641414,0.43737798,0.593538585,0.014213683,0.85,3003.752256
5A,18.00957149,0.531506525,0.590203075,0.017418337,0.85,2990.244824
5A,18.20517009,0.468260388,0.592769231,0.015246787,0.85,3000.639202
5A,18.19149605,0.345778841,0.592590552,0.011263795,0.85,2999.915994
5A,18.27637736,0.521521907,0.59369797,0.01694135,0.85,3004.39699
5A,18.19932557,0.481467385,0.592692874,0.015679828,0.85,3000.330153
5A,18.23731982,0.265257703,0.593188911,0.008627799,0.85,3002.337547
5A,18.22796676,0.205544844,0.593066878,0.006687627,0.85,3001.843754
5A,18.27628741,0.413652476,0.593696798,0.013437311,0.85,3004.392252
5A,18.17562021,0.310630789,0.592382968,0.010124133,0.85,2999.075688
5A,18.30897665,0.510132442,0.59412219,0.016553683,0.85,3006.112707
5A,18.15264463,0.252190592,0.592082294,0.008225666,0.85,2997.858361
5A,18.24345924,0.198417237,0.593268987,0.006452438,0.85,3002.661546
5A,18.23213155,0.431390083,0.593121224,0.014033829,0.85,3002.063663
5A,18.39656538,0.539942775,0.595259016,0.017470968,0.85,3010.708238
5A,18.14473204,0.315885162,0.591978674,0.010305872,0.85,2997.438786
5A,18.25138944,0.251676206,0.593372388,0.008182265,0.85,3003.079897
5A,18.18231756,0.354811536,0.592470557,0.011561529,0.85,2999.430263
5A,18.11531886,0.423831071,0.591593176,0.01384108,0.85,2995.877594
5A,18.26345869,0.486786264,0.59352969,0.015819682,0.85,3003.716271
5A,18.08271101,0.293795824,0.591165222,0.009604858,0.85,2994.144024
5A,18.13028849,0.473115084,0.591789435,0.015442915,0.85,2996.672451
5A,18.20411521,0.287016313,0.592755451,0.009345716,0.85,3000.583429
5A,18.27562093,0.233837478,0.593688119,0.007596269,0.85,3004.357144
5A,18.25735643,0.185261876,0.593450168,0.006021884,0.85,3003.394568
5A,18.22042847,0.424481634,0.592968486,0.013814397,0.85,3001.445597
5A,18.05585875,0.46249325,0.590812343,0.01513341,0.85,2992.714221
5A,18.14867969,0.387924833,0.592030375,0.012654545,0.85,2997.648137
5A,18.16709738,0.223284554,0.592271468,0.007279373,0.85,2998.624289
5A,18.11142705,0.351758762,0.591542131,0.011488886,0.85,2995.670844
5A,18.03469047,0.456277257,0.590533865,0.014940493,0.85,2991.585651
5A,18.2084721,0.383681422,0.592812363,0.012491498,0.85,3000.813765
5A,18.26042086,0.293609343,0.593490105,0.009542729,0.85,3003.556133
5A,18.16015363,0.340218634,0.592180595,0.011094117,0.85,2998.256375
5A,18.27434405,0.3320553,0.59367149,0.010787351,0.85,3004.289879
5A,18.0728947,0.265288221,0.59103627,0.008675697,0.85,2993.621568
5A,18.10638146,0.282960696,0.59147594,0.009243395,0.85,2995.402739
5A,18.20654949,0.42308981,0.59278725,0.013775386,0.85,3000.712129
5A,18.15274603,0.466125562,0.592083622,0.015203502,0.85,2997.863737
5A,6.085702058,0.07181711,0.322359544,0.005706227,0.85,1988.200192
5A,5.532289334,0.132367809,0.310006686,0.011126019,0.85,1905.627729
5A,8.629459904,0.101422028,0.379139371,0.006684037,0.85,2299.667096
5A,14.75180596,0.433460097,0.515797719,0.022733935,0.85,2799.365409
5A,5.033808341,0.141208633,0.298879973,0.012576293,0.85,1825.027544
5A,8.498547748,0.230585025,0.376217249,0.015311451,0.85,2285.768308
5A,5.208476729,0.119778985,0.302778788,0.010444475,0.85,1854.003729
5A,15.63627058,0.201559092,0.535540066,0.010355056,0.85,2854.836053
5A,15.12849952,0.256237389,0.524205986,0.013318027,0.85,2823.361795
5A,6.851977924,0.079857062,0.339463771,0.005934472,0.85,2092.46633
5A,8.091602803,0.124121249,0.367133734,0.008447479,0.85,2241.30702
5A,10.36111826,0.289315737,0.41779213,0.017499149,0.85,2467.580694
5A,14.20069465,0.348483517,0.503496232,0.018533615,0.85,2763.203663
5A,5.120470628,0.108026822,0.300814383,0.009519444,0.85,1839.507533
5A,9.727945113,0.153880106,0.403658921,0.009577831,0.85,2409.353739
5A,7.734347966,0.144647321,0.359159363,0.010075466,0.85,2200.602421
5A,10.62524235,0.264948836,0.423687707,0.015847483,0.85,2490.916179
5A,11.5873648,0.151396874,0.445163472,0.008724549,0.85,2571.654076
5A,13.29488291,0.3913552,0.483277392,0.021339013,0.85,2700.819043
5A,7.912480205,0.186364019,0.363135495,0.01282949,0.85,2221.102264
5A,14.65508575,0.382241135,0.513638804,0.020095469,0.85,2793.111471
5A,5.59632622,0.110648776,0.311436069,0.009236422,0.85,1915.533189
5A,6.100084963,0.128735954,0.322680588,0.010214758,0.85,1990.259177
5A,6.392873768,0.140137234,0.329215997,0.010825042,0.85,2031.290584
5A,3.836597632,0.046740808,0.272156747,0.004973479,0.85,1600.45845
5A,4.615409724,0.126253513,0.289540798,0.011880487,0.85,1752.058237
5A,6.719114403,0.128186846,0.336498092,0.009629534,0.85,2075.137983
5A,11.86767768,0.134474758,0.451420403,0.007672687,0.85,2594.017933
5A,6.813397456,0.193632732,0.338602607,0.014434329,0.85,2087.464977
5A,13.60535452,0.151127029,0.490207503,0.00816777,0.85,2722.636147
5A,13.39847266,0.219196627,0.485589644,0.01191624,0.85,2708.150618
5A,7.86500067,0.117878676,0.362075693,0.008140051,0.85,2215.678545
5A,7.071493393,0.078063894,0.344363628,0.005702268,0.85,2120.463543
5A,3.894686666,0.101419657,0.273453366,0.010681301,0.85,1612.580863
5A,5.027618538,0.101982514,0.298741809,0.009089723,0.85,1823.985375
